92.0;189.0
157.0;160.0
196.0;160.0
207.0;178.0
221.0;206.0
234.0;233.0
242.0;276.0
237.0;298.0
229.0;338.0
290.0;379.0
334.0;368.0
385.0;342.0
396.0;312.0
395.0;272.0
377.0;245.0
360.0;217.0
357.0;188.0
359.0;166.0
384.0;141.0
416.0;141.0
430.0;151.0
452.0;191.0
458.0;248.0
464.0;277.0
469.0;320.0
499.0;360.0
522.0;373.0
571.0;378.0
602.0;347.0
610.0;306.0
608.0;283.0
605.0;255.0
612.0;227.0
631.0;219.0
667.0;229.0
679.0;240.0
701.0;253.0
715.0;267.0
717.0;288.0
715.0;365.0
711.0;462.0
712.0;534.0
695.0;588.0
674.0;635.0
633.0;663.0
582.0;683.0
522.0;691.0
380.0;698.0
238.0;687.0
169.0;670.0
141.0;643.0
98.0;574.0
77.0;491.0
63.0;398.0
61.0;323.0
70.0;269.0
