152.0;86.0
215.0;79.0
249.0;103.0
274.0;148.0
278.0;201.0
280.0;254.0
286.0;296.0
320.0;300.0
335.0;282.0
326.0;243.0
321.0;217.0
316.0;172.0
314.0;130.0
353.0;81.0
385.0;57.0
441.0;67.0
477.0;101.0
485.0;155.0
490.0;190.0
508.0;282.0
540.0;301.0
555.0;273.0
563.0;224.0
576.0;185.0
606.0;149.0
661.0;149.0
710.0;183.0
752.0;239.0
751.0;301.0
753.0;447.0
749.0;555.0
727.0;649.0
645.0;729.0
552.0;742.0
426.0;745.0
335.0;735.0
160.0;717.0
79.0;675.0
37.0;517.0
25.0;430.0
24.0;342.0
23.0;258.0
26.0;170.0
74.0;105.0
