107.0;81.0
191.0;52.0
285.0;44.0
410.0;48.0
535.0;75.0
614.0;120.0
655.0;174.0
691.0;249.0
688.0;300.0
652.0;349.0
597.0;362.0
544.0;347.0
510.0;322.0
463.0;257.0
395.0;211.0
336.0;205.0
272.0;207.0
251.0;235.0
251.0;268.0
277.0;287.0
308.0;287.0
393.0;292.0
459.0;331.0
532.0;383.0
579.0;443.0
625.0;529.0
647.0;618.0
637.0;685.0
575.0;743.0
504.0;754.0
417.0;741.0
329.0;707.0
270.0;682.0
225.0;652.0
197.0;588.0
199.0;554.0
224.0;530.0
263.0;513.0
280.0;477.0
270.0;450.0
233.0;464.0
201.0;504.0
168.0;542.0
121.0;564.0
91.0;548.0
48.0;484.0
43.0;456.0
34.0;372.0
25.0;283.0
35.0;206.0
66.0;137.0
